Simulazione,TempoEsecuzione,ValoreFitness,RMSE
1,1896.743401959,-0.777307081594425,0
2,209.430591,1.22789731634225,2.50650549742085
3,250.863085833,1.16599279484492,2.42912484554919
4,294.348310041,-0.596344573825536,0.226203134711111
5,1953.48212825,-0.777303147346582,4.91780980406084e-06
6,2375.014125542,-0.777302946924806,5.16833702399176e-06
7,2067.066485709,-0.777307081594425,0
8,254.346440833,2.50201507626887,4.09915269732912
9,355.441095875,-0.689421735703343,0.109856682363853
10,2129.065976167,-0.777307079178819,3.01950799162333e-09
